Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Exportation des phosphates par pays en valeur,
frequence,Annuelle,
Scenario ,Reel,
Source ,Office des Changes,
Période disponible ,1990 - 2021,
Date de dernière mise à jour ,2023-05-09 13:27:27.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Exportation des phosphates et des produits dérivés en valeur,
Unité,Dirham,
Echelle ,Million,
Axes Fixes ,Valeurs prises ,
Produits miniers,Phosphates,
