,Crédit bancaire Agriculture et pêche (MDH),Comptes débiteurs et crédits de trésorerie — Agriculture (MDH),Crédits à l'équipement — Agriculture (MDH)
1998-01-01,,,
1998-04-01,,,
1998-07-01,,,
1998-10-01,,,
1999-01-01,,,
1999-04-01,,,
1999-07-01,,,
1999-10-01,,,
2000-01-01,,,
2000-04-01,,,
2000-07-01,,,
2000-10-01,,,
2001-01-01,,,
2001-04-01,,,
2001-07-01,,,
2001-10-01,,,
2002-01-01,,,
2002-04-01,,,
2002-07-01,,,
2002-10-01,,,
2003-01-01,,,
2003-04-01,,,
2003-07-01,,,
2003-10-01,,,
2004-01-01,,,
2004-04-01,,,
2004-07-01,,,
2004-10-01,,,
2005-01-01,,,
2005-04-01,,,
2005-07-01,,,
2005-10-01,,,
2006-01-01,,,
2006-04-01,,,
2006-07-01,,,
2006-10-01,18673.1327,6653.6479,7846.0725
2007-01-01,18446.9801,5648.6579,8599.2051
2007-04-01,19688.6404,6649.2391,8946.4486
2007-07-01,19527.2505,6663.2868,8863.9085
2007-10-01,20109.8355,7552.7313,8594.8024
2008-01-01,20290.5105,7222.4836,9005.3783
2008-04-01,17750.5563,7780.684,6039.0779
2008-07-01,19917.1277,9442.5322,6412.3574
2008-10-01,20594.1053,9594.6281,6427.6246
2009-01-01,17445.7643,8062.9855,5506.0445
2009-04-01,18773.504,8818.179,5961.7514
2009-07-01,19228.6273,9743.9142,6200.5315
2009-10-01,19566.4986,9661.0641,6601.467
2010-01-01,18364.9595,8423.0004,6419.2381
2010-04-01,17545.1076,8440.5009,5780.676
2010-07-01,16033.3789,7161.2281,6992.4391
2010-10-01,25292.8945,11570.1856,10327.4444
2011-01-01,23648.9414,10890.1155,9984.1072
2011-04-01,23879.6937,12481.2293,8229.1708
2011-07-01,25219.9548,12036.2932,9027.3772
2011-10-01,28400.0693,14994.6629,9428.7343
2012-01-01,27568.4811,13352.2571,10078.1015
2012-04-01,28369.3278,14277.3526,9781.4233
2012-07-01,28146.8686,14437.1628,10846.2118
2012-10-01,28007.1212,14448.8514,10471.5125
2013-01-01,28129.5304,14420.1503,10462.6686
2013-04-01,28970.3904,14999.2443,10569.2339
2013-07-01,29695.2578,15975.2523,10689.9088
2013-10-01,29008.0405,15573.785,10442.8881
2014-01-01,28715.3634,14326.5644,10835.9957
2014-04-01,30616.8326,14317.0575,12743.9054
2014-07-01,31201.6043,14398.3478,12939.7635
2014-10-01,29854.3633,14437.586,11684.7026
2015-01-01,30770.9073,14695.0006,11711.0975
2015-04-01,30926.5006,14914.475,11616.8003
2015-07-01,30327.7576,13990.7604,11599.075
2015-10-01,33475.7095,15042.506,12220.1335
2016-01-01,31323.7179,14729.2469,11825.357
2016-04-01,31168.8969,15073.5288,11932.3276
2016-07-01,31740.3185,15089.0787,12509.7385
2016-10-01,31655.9022,15478.9678,12544.0893
2017-01-01,29436.2922,13294.6873,12913.1737
2017-04-01,29814.2401,13390.1477,12829.122
2017-07-01,30383.3008,13757.5303,12892.1582
2017-10-01,30532.2559,13853.858,13008.8392
2018-01-01,30764.6086,14118.4164,13007.3283
2018-04-01,30534.7239,14079.0256,13116.8921
2018-07-01,34831.0215,11981.0294,19152.576
2018-10-01,35920.9632,13080.3291,19154.2805
2019-01-01,34556.4443,17061.2925,13386.8006
2019-04-01,35111.6189,17509.093,13515.932
2019-07-01,36719.1676,18557.3959,13802.113
2019-10-01,38331.2881,19732.6998,13995.4789
2020-01-01,36186.9058,18239.8633,13266.43
2020-04-01,35917.4359,18684.0125,12790.3316
2020-07-01,36859.6532,19505.6703,13269.8683
2020-10-01,36026.6543,19318.6622,13112.6174
2021-01-01,36167.3592,19301.5488,13007.3493
2021-04-01,37139.1146,19944.9624,13035.2607
2021-07-01,38307.8186,20550.606,13390.0588
2021-10-01,38677.0673,21061.9033,13647.9256
2022-01-01,38410.0709,20790.8455,13582.2091
2022-04-01,40663.593,22628.0349,13444.0882
2022-07-01,41181.5555,22905.424,13538.4761
2022-10-01,41848.9158,23417.6719,13740.0861
2023-01-01,40718.1703,21847.928,14034.1052
2023-04-01,39776.3221,21161.3449,13873.0525
2023-07-01,40221.0286,21196.7064,14317.6113
2023-10-01,41290.5552,22420.6165,14230.9393
2024-01-01,40029.7785,21131.8159,14109.6873
2024-04-01,39424.4236,20210.4814,14314.4371
2024-07-01,39785.6452,20662.9792,14073.5676
2024-10-01,40879.233,21815.2002,14288.4186
2025-01-01,41375.6063,20751.1533,14262.6334
2025-04-01,40430.4509,18847.2398,15193.491
2025-07-01,41912.0152,19652.1101,15987.1688
2025-10-01,43582.3799,21197.9798,16101.4441
2026-01-01,42325.4169,19777.0846,16311.8176
